,date,tournament,home_team,away_team,home_team_rating,away_team_rating,home_goals,away_goals,home_team_rating_change,away_team_rating_change,home_team_new_rating,away_team_new_rating,home_team_rank,away_team_rank,home_team_rank_change,away_team_rank_change,home_team_new_rank,away_team_new_rank,k,hadv,rdiff
105,Mar 27 2018,Friendly in England,Australia,Colombia,1707,1940,0,0,6,-6,1713,1934,39,8,1,0,40,8,20,0,-233
106,Mar 27 2018,Friendly in Turkey,Azerbaijan,Macedonia,1388,1522,1,1,4,-4,1392,1518,110,82,1,-3,111,79,20,0,-134
107,Mar 27 2018,Asian Cup qualifier in Bahrain,Bahrain,Turkmenistan,1400,1253,4,0,15,-15,1415,1238,98,159,4,-5,102,154,40,100,247
108,Mar 27 2018,Friendly in Belgium,Belgium,Saudi Arabia,1928,1564,4,0,2,-2,1930,1562,9,67,0,0,9,67,20,100,464
109,Mar 27 2018,Friendly in France,Bosnia and Herzegovina,Senegal,1730,1746,0,0,0,0,1730,1746,34,25,0,3,34,28,20,0,-16
110,Mar 27 2018,Friendly in Morocco,Central African Republic,Kenya,1299,1389,3,2,13,-13,1312,1376,128,122,1,-6,129,116,20,0,-90
111,Mar 27 2018,Friendly in the United States,Croatia,Mexico,1842,1871,1,0,11,-11,1853,1860,16,16,1,0,17,16,20,0,-29
112,Mar 27 2018,Friendly in Denmark,Denmark,Chile,1844,1872,0,0,-2,2,1842,1874,19,15,-1,0,18,15,20,100,72
113,Mar 27 2018,Friendly in England,England,Italy,1945,1894,1,1,-4,4,1941,1898,7,12,0,0,7,12,20,100,151
114,Mar 27 2018,Friendly in Georgia,Georgia,Estonia,1492,1516,2,0,12,-12,1504,1504,80,85,2,-3,82,82,20,100,76
115,Mar 27 2018,Friendly in Germany,Germany,Brazil,2104,2119,0,1,-12,12,2092,2131,2,1,0,0,2,1,20,100,85
116,Mar 27 2018,Friendly in Switzerland,Greece,Egypt,1654,1654,1,0,10,-10,1664,1644,46,54,2,-2,48,52,20,0,0
117,Mar 27 2018,Friendly in Hungary,Hungary,Scotland,1593,1709,0,1,-10,10,1583,1719,64,38,1,1,65,39,20,100,-16
118,Mar 27 2018,Friendly in Austria,Iran,Algeria,1790,1543,2,1,4,-4,1794,1539,20,71,1,0,21,71,20,0,247
119,Mar 27 2018,Friendly tournament in Iraq,Iraq,Syria,1559,1605,1,1,-2,2,1557,1607,70,55,0,3,70,58,20,100,54
120,Mar 27 2018,Friendly in France,Ivory Coast,Moldova,1597,1326,2,1,3,-3,1600,1323,60,124,2,0,62,124,20,0,271
121,Mar 27 2018,Asian Cup qualifier in Jordan,Jordan,Vietnam,1479,1271,1,1,-14,14,1465,1285,92,132,-3,5,89,137,40,100,308
122,Mar 27 2018,Friendly in France,Kosovo,Burkina Faso,1380,1610,2,0,24,-24,1404,1586,100,69,7,-5,107,64,20,0,-230
123,Mar 27 2018,Asian Cup qualifier in Kyrgyzstan,Kyrgyzstan,India,1234,1159,2,1,11,-11,1245,1148,148,172,3,-1,151,171,40,100,175
124,Mar 27 2018,Friendly in Laos,Laos,Bangladesh,770,803,2,2,-2,2,768,805,212,209,0,0,212,209,20,100,67
125,Mar 27 2018,Asian Cup qualifier in Lebanon,Lebanon,Malaysia,1451,1053,2,1,2,-2,1453,1051,97,183,-1,1,96,184,20,0,398
126,Mar 27 2018,Friendly in Luxembourg,Luxembourg,Austria,1331,1719,0,4,-6,6,1325,1725,123,32,0,3,123,35,20,100,-288
127,Mar 27 2018,Asian Cup qualifier in the Maldives,Maldives,Bhutan,935,592,7,0,7,-7,942,585,198,230,0,0,198,230,40,100,443
128,Mar 27 2018,Friendly in Mongolia,Mongolia,Mauritius,661,1072,0,2,-4,4,657,1076,224,179,0,1,224,180,20,100,-311
129,Mar 27 2018,Friendly in Montenegro,Montenegro,Turkey,1611,1720,2,2,0,0,1611,1720,54,39,2,-1,56,38,20,100,-9
130,Mar 27 2018,Friendly in Morocco,Morocco,Uzbekistan,1703,1614,2,0,8,-8,1711,1606,40,63,1,-4,41,59,20,100,189
131,Mar 27 2018,Asian Cup qualifier in Myanmar,Myanmar,Macao,1067,674,1,0,2,-2,1069,672,182,223,0,0,182,223,20,0,393
132,Mar 27 2018,Friendly in Namibia,Namibia,Lesotho,1377,1262,2,1,4,-4,1381,1258,113,147,1,-2,114,145,20,100,215
133,Mar 27 2018,Asian Cup qualifier in North Korea,North Korea,Hong Kong,1449,1190,2,0,7,-7,1456,1183,90,171,3,-3,93,168,40,100,359
134,Mar 27 2018,Asian Cup qualifier in Oman,Oman,Palestine,1529,1404,1,0,9,-9,1538,1395,70,113,2,-4,72,109,40,100,225
135,Mar 27 2018,Friendly in the United States,Peru,Iceland,1896,1798,3,1,11,-11,1907,1787,9,23,1,-1,10,22,20,0,98
136,Mar 27 2018,Asian Cup qualifier in the Philippines,Philippines,Tajikistan,1169,1214,2,1,17,-17,1186,1197,166,166,1,-3,167,163,30,0,-45
137,Mar 27 2018,Friendly in Poland,Poland,South Korea,1826,1749,3,2,5,-5,1831,1744,19,32,0,-2,19,30,20,100,177
138,Mar 27 2018,Friendly in Romania,Romania,Sweden,1696,1806,1,0,10,-10,1706,1796,40,20,2,0,42,20,20,100,-10
139,Mar 27 2018,Friendly in Russia,Russia,France,1693,1975,1,3,-8,8,1685,1983,45,5,0,0,45,5,20,100,-182
140,Mar 27 2018,Friendly in England,Serbia,Nigeria,1757,1715,2,0,13,-13,1770,1702,23,47,1,-4,24,43,20,0,42
141,Mar 27 2018,Friendly in the Seychelles,Seychelles,Swaziland,940,1295,0,0,6,-6,946,1289,195,138,1,-2,196,136,20,100,-255
142,Mar 27 2018,Friendly in Slovenia,Slovenia,Belarus,1629,1507,0,2,-23,23,1606,1530,65,68,-6,7,59,75,20,100,222
143,Mar 27 2018,Friendly in Spain,Spain,Argentina,2036,1996,6,1,12,-12,2048,1984,3,4,0,0,3,4,20,100,140
144,Mar 27 2018,Friendly in Switzerland,Switzerland,Panama,1873,1668,6,0,6,-6,1879,1662,14,50,0,-1,14,49,20,100,305
145,Mar 27 2018,Asian Cup qualifier in Taiwan,Taiwan,Singapore,975,1062,1,0,19,-19,994,1043,191,189,1,-3,192,186,30,0,-87
146,Mar 27 2018,Friendly in Tanzania,Tanzania,DR Congo,1296,1605,2,0,23,-23,1319,1582,118,71,7,-5,125,66,20,100,-209
147,Mar 27 2018,Friendly in France,Tunisia,Costa Rica,1634,1757,1,0,13,-13,1647,1744,50,35,1,-5,51,30,20,0,-123
148,Mar 27 2018,Friendly in Uganda,Uganda,Malawi,1463,1303,0,0,-6,6,1457,1309,91,131,0,-1,91,130,20,100,260
149,Mar 27 2018,Friendly in Belgium,Ukraine,Japan,1733,1701,2,1,9,-9,1742,1692,31,45,1,-1,32,44,20,0,32
150,Mar 27 2018,Friendly in the United States,United States,Paraguay,1747,1753,1,0,7,-7,1754,1746,23,29,3,-1,26,28,20,100,94
151,Mar 27 2018,Asian Cup qualifier in Qatar,Yemen,Nepal,1188,898,2,1,6,-6,1194,892,161,202,3,0,164,202,40,0,290
152,Apr 1 2018,Friendly in Antigua and Barbuda,Antigua and Barbuda,Dominica,1219,1005,0,0,-7,7,1212,1012,160,189,-1,0,159,189,20,100,314
153,Apr 1 2018,Friendly in Malaysia,Malaysia,Bhutan,1051,585,7,0,2,-2,1053,583,184,230,0,0,184,230,20,100,566
154,Apr 17 2018,Friendly in Trinidad and Tobago,Trinidad and Tobago,Panama,1431,1662,0,1,-6,6,1425,1668,100,47,-1,1,99,48,20,100,-131
155,Apr 18 2018,Friendly in Zimbabwe,Zimbabwe,Botswana,1468,1260,0,1,-17,17,1451,1277,104,139,-8,2,96,141,20,100,308
156,Apr 19 2018,Friendly in Eswatini,Eswatini,Namibia,1289,1381,1,0,10,-10,1299,1371,128,122,4,-4,132,118,20,100,8
157,Apr 26 2018,Friendly in Saint Kitts and Nevis,Saint Kitts and Nevis,Jamaica,1248,1561,1,3,-7,7,1241,1568,157,66,-4,1,153,67,20,100,-213
158,Apr 29 2018,Friendly in Antigua and Barbuda,Antigua and Barbuda,Jamaica,1212,1568,0,2,-6,6,1206,1574,159,67,0,0,159,67,20,100,-256
159,Apr 29 2018,Friendly in Saint Barthélemy,Saint Barthélemy,Saint Martin,695,867,3,1,18,-18,713,849,215,206,1,-1,216,205,20,100,-72
160,May 8 2018,Friendly in Iraq,Iraq,Palestine,1557,1395,0,0,-6,6,1551,1401,70,107,0,1,70,108,20,100,262
161,May 9 2018,Friendly in Spain,Saudi Arabia,Algeria,1562,1539,2,0,14,-14,1576,1525,66,81,1,-5,67,76,20,0,23
162,May 11 2018,Friendly in Kuwait,Kuwait,Palestine,1405,1401,2,0,11,-11,1416,1390,98,114,4,-3,102,111,20,100,104
163,May 15 2018,Friendly in Spain,Saudi Arabia,Greece,1576,1664,2,0,19,-19,1595,1645,61,53,3,-2,64,51,20,0,-88
164,May 19 2018,Friendly in Iran,Iran,Uzbekistan,1794,1606,1,0,3,-3,1797,1603,19,63,1,-2,20,61,20,100,288
165,May 20 2018,Friendly in Jordan,Jordan,Cyprus,1465,1413,3,0,10,-10,1475,1403,84,109,2,-2,86,107,20,100,152
166,May 25 2018,Friendly in Kenya,Kenya,Eswatini,1376,1299,0,1,-15,15,1361,1314,121,126,-3,3,118,129,20,100,177
167,May 25 2018,Friendly in Kuwait,Kuwait,Egypt,1416,1644,1,1,4,-4,1420,1640,102,52,0,0,102,52,20,100,-128
168,May 26 2018,Friendly in China,China,Myanmar,1520,1069,1,0,1,-1,1521,1068,77,182,0,0,77,182,20,0,451
169,May 26 2018,Friendly in Saint Barthélemy,Saint Barthélemy,Sint Maarten,713,884,5,3,18,-18,731,866,214,203,1,0,215,203,20,100,-71
170,May 27 2018,Friendly in France,Burkina Faso,Cameroon,1586,1655,1,0,12,-12,1598,1643,61,53,2,-2,63,51,20,0,-69
171,May 27 2018,COSAFA Cup in South Africa,Comoros,Seychelles,1048,946,1,1,-6,6,1042,952,187,194,-1,1,186,195,40,0,102
172,May 27 2018,COSAFA Cup in South Africa,Madagascar,Mozambique,1358,1316,2,1,18,-18,1376,1298,111,136,4,-4,115,132,40,0,42
173,May 27 2018,Friendly tournament in Niger,Niger,Central African Republic,1296,1312,3,3,-4,4,1292,1316,138,126,-2,2,136,128,30,100,84
174,May 28 2018,Friendly in Bosnia and Herzegovina,Bosnia and Herzegovina,Montenegro,1730,1611,0,0,-6,6,1724,1617,38,50,-2,3,36,53,20,100,219
175,May 28 2018,COSAFA Cup in South Africa,Botswana,Angola,1277,1260,2,1,19,-19,1296,1241,125,160,8,-8,133,152,40,0,17
176,May 28 2018,Friendly in France,France,Ireland,1983,1723,2,0,3,-3,1986,1720,3,40,1,-2,4,38,20,100,360
177,May 28 2018,Friendly in Switzerland,Italy,Saudi Arabia,1898,1595,2,1,3,-3,1901,1592,12,65,0,0,12,65,20,0,303
178,May 28 2018,Friendly in Kenya,Kenya,Equatorial Guinea,1361,1332,1,0,6,-6,1367,1326,119,122,0,0,119,122,20,100,129
179,May 28 2018,COSAFA Cup in South Africa,Mauritius,Malawi,1076,1309,1,0,32,-32,1108,1277,168,152,6,-11,174,141,40,0,-233
180,May 28 2018,Friendly in the United States,Mexico,Wales,1860,1775,0,0,-2,2,1858,1777,16,23,0,0,16,23,20,0,85
181,May 28 2018,Friendly in Nigeria,Nigeria,DR Congo,1702,1582,1,1,-6,6,1696,1588,43,65,0,1,43,66,20,100,220
182,May 28 2018,Friendly in Portugal,Portugal,Tunisia,1975,1647,2,2,-8,8,1967,1655,6,49,0,0,6,49,20,100,428
183,May 28 2018,Friendly in South Korea,South Korea,Honduras,1744,1610,2,0,6,-6,1750,1604,24,61,3,-2,27,59,20,100,234
184,May 28 2018,Friendly in Turkey,Turkey,Iran,1720,1797,2,1,9,-9,1729,1788,30,22,4,-1,34,21,20,100,23
185,May 28 2018,Friendly in the United States,United States,Bolivia,1754,1682,3,0,9,-9,1763,1673,24,47,1,0,25,47,20,100,172
